timestamp,index,timestamp,name,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,power.draw,fan.speed,pstate,clocks.current.graphics,clocks.current.memory
2025-03-12 19:28:46.765209,4,2025/03/12 19:28:46.757,Quadro RTX 8000,67,90,82,49152,10535,38057,249.48,41,P2,1830,6500
2025-03-12 19:28:49.103046,4,2025/03/12 19:28:49.096,Quadro RTX 8000,67,79,71,49152,10535,38057,256.13,41,P2,1845,6500
2025-03-12 19:28:51.437795,4,2025/03/12 19:28:51.431,Quadro RTX 8000,67,98,91,49152,10535,38057,254.60,42,P2,1845,6500
2025-03-12 19:28:53.782236,4,2025/03/12 19:28:53.773,Quadro RTX 8000,67,90,84,49152,10535,38057,259.47,41,P2,1845,6500
2025-03-12 19:28:56.127443,4,2025/03/12 19:28:56.121,Quadro RTX 8000,67,98,91,49152,10535,38057,257.05,42,P2,1845,6500
2025-03-12 19:28:58.463009,4,2025/03/12 19:28:58.454,Quadro RTX 8000,66,98,92,49152,10535,38057,258.23,42,P2,1860,6500
2025-03-12 19:29:00.807484,4,2025/03/12 19:29:00.801,Quadro RTX 8000,66,7,6,49152,10535,38057,253.33,42,P2,1875,6500
2025-03-12 19:29:03.158293,4,2025/03/12 19:29:03.146,Quadro RTX 8000,67,75,64,49152,10535,38057,244.23,42,P2,1860,6500
2025-03-12 19:29:05.501665,4,2025/03/12 19:29:05.494,Quadro RTX 8000,67,87,80,49152,10535,38057,252.96,42,P2,1845,6500
2025-03-12 19:29:07.840738,4,2025/03/12 19:29:07.833,Quadro RTX 8000,67,90,82,49152,10535,38057,257.46,42,P2,1845,6500
2025-03-12 19:29:10.178771,4,2025/03/12 19:29:10.170,Quadro RTX 8000,67,98,92,49152,10535,38057,260.38,42,P2,1845,6500
2025-03-12 19:29:12.505586,4,2025/03/12 19:29:12.494,Quadro RTX 8000,67,98,92,49152,10535,38057,257.65,42,P2,1845,6500
2025-03-12 19:29:14.847030,4,2025/03/12 19:29:14.839,Quadro RTX 8000,67,97,91,49152,10535,38057,257.62,42,P2,1860,6500
2025-03-12 19:29:17.190946,4,2025/03/12 19:29:17.184,Quadro RTX 8000,66,68,59,49152,10535,38057,244.37,42,P2,1875,6500
2025-03-12 19:29:19.539736,4,2025/03/12 19:29:19.525,Quadro RTX 8000,67,77,67,49152,10535,38057,249.82,41,P2,1845,6500
2025-03-12 19:29:21.878500,4,2025/03/12 19:29:21.871,Quadro RTX 8000,67,83,75,49152,10535,38057,255.84,42,P2,1845,6500
2025-03-12 19:29:24.223766,4,2025/03/12 19:29:24.215,Quadro RTX 8000,67,91,85,49152,10535,38057,264.35,42,P2,1830,6500
2025-03-12 19:29:26.569485,4,2025/03/12 19:29:26.562,Quadro RTX 8000,67,90,83,49152,10535,38057,255.28,42,P2,1830,6500
2025-03-12 19:29:28.908131,4,2025/03/12 19:29:28.901,Quadro RTX 8000,67,98,91,49152,10535,38057,259.71,42,P2,1845,6500
2025-03-12 19:29:31.251707,4,2025/03/12 19:29:31.245,Quadro RTX 8000,67,98,91,49152,10535,38057,259.41,42,P2,1845,6500
2025-03-12 19:29:33.591254,4,2025/03/12 19:29:33.585,Quadro RTX 8000,66,3,3,49152,10535,38057,163.66,42,P2,1875,6500
2025-03-12 19:29:35.932374,4,2025/03/12 19:29:35.925,Quadro RTX 8000,67,82,71,49152,10535,38057,257.05,42,P2,1860,6500
2025-03-12 19:29:38.272366,4,2025/03/12 19:29:38.266,Quadro RTX 8000,67,80,70,49152,10535,38057,247.41,42,P2,1845,6500
2025-03-12 19:29:40.619815,4,2025/03/12 19:29:40.610,Quadro RTX 8000,67,87,80,49152,10535,38057,261.69,42,P2,1830,6500
2025-03-12 19:29:42.963567,4,2025/03/12 19:29:42.956,Quadro RTX 8000,67,85,69,49152,10535,38057,250.91,42,P2,1830,6500
2025-03-12 19:29:45.308090,4,2025/03/12 19:29:45.301,Quadro RTX 8000,67,77,63,49152,10535,38057,249.63,42,P2,1860,6500
2025-03-12 19:29:47.643732,4,2025/03/12 19:29:47.637,Quadro RTX 8000,68,85,69,49152,10535,38057,261.22,42,P2,1830,6500
2025-03-12 19:29:49.976256,4,2025/03/12 19:29:49.969,Quadro RTX 8000,67,71,58,49152,10535,38057,252.79,42,P2,1845,6500
2025-03-12 19:29:52.320329,4,2025/03/12 19:29:52.310,Quadro RTX 8000,67,83,68,49152,10535,38057,259.15,42,P2,1860,6500
2025-03-12 19:29:54.664830,4,2025/03/12 19:29:54.658,Quadro RTX 8000,67,85,69,49152,10535,38057,255.54,42,P2,1845,6500
2025-03-12 19:29:56.974542,4,2025/03/12 19:29:56.965,Quadro RTX 8000,67,78,63,49152,10535,38057,245.56,42,P2,1860,6500
2025-03-12 19:29:59.307585,4,2025/03/12 19:29:59.301,Quadro RTX 8000,67,81,66,49152,10535,38057,227.78,42,P2,1860,6500
2025-03-12 19:30:01.642457,4,2025/03/12 19:30:01.635,Quadro RTX 8000,67,83,67,49152,10535,38057,247.32,42,P2,1845,6500
2025-03-12 19:30:03.976179,4,2025/03/12 19:30:03.969,Quadro RTX 8000,67,81,66,49152,10535,38057,237.51,42,P2,1860,6500
2025-03-12 19:30:06.311933,4,2025/03/12 19:30:06.305,Quadro RTX 8000,67,79,65,49152,10535,38057,247.69,43,P2,1860,6500
2025-03-12 19:30:08.652378,4,2025/03/12 19:30:08.645,Quadro RTX 8000,67,83,67,49152,10535,38057,243.33,42,P2,1860,6500
2025-03-12 19:30:10.996574,4,2025/03/12 19:30:10.988,Quadro RTX 8000,66,12,10,49152,10535,38057,103.73,42,P2,1875,6500
2025-03-12 19:30:13.342867,4,2025/03/12 19:30:13.328,Quadro RTX 8000,67,73,59,49152,10535,38057,247.53,42,P2,1830,6500
2025-03-12 19:30:15.680831,4,2025/03/12 19:30:15.671,Quadro RTX 8000,67,85,69,49152,10535,38057,247.38,42,P2,1845,6500
2025-03-12 19:30:18.008907,4,2025/03/12 19:30:18.002,Quadro RTX 8000,64,11,10,49152,10535,38057,104.77,43,P2,1875,6500
2025-03-12 19:30:20.350779,4,2025/03/12 19:30:20.341,Quadro RTX 8000,67,76,66,49152,10535,38057,240.40,42,P2,1830,6500
