CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
674.9,"svmem(total=540894633984, available=507460235264, percent=6.2, used=29876875264, free=361914900480, active=64532975616, inactive=103384096768, buffers=2552832000, cached=146550026240, shared=56205312, slab=7700299776)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:47.762009
764.5,"svmem(total=540894633984, available=507444445184, percent=6.2, used=29892648960, free=361899044864, active=64549720064, inactive=103384129536, buffers=2552832000, cached=146550108160, shared=56205312, slab=7699267584)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:50.102113
843.2,"svmem(total=540894633984, available=507444031488, percent=6.2, used=29893079040, free=361898598400, active=64549756928, inactive=103384162304, buffers=2552832000, cached=146550124544, shared=56205312, slab=7699251200)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:52.425580
540.6,"svmem(total=540894633984, available=507443380224, percent=6.2, used=29893505024, free=361897873408, active=64550318080, inactive=103384346624, buffers=2552832000, cached=146550423552, shared=56446976, slab=7698833408)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:54.752154
879.0,"svmem(total=540894633984, available=507421597696, percent=6.2, used=29915500544, free=361876070400, active=64573575168, inactive=103384211456, buffers=2552832000, cached=146550231040, shared=56205312, slab=7700799488)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:57.066292
651.8,"svmem(total=540894633984, available=507436969984, percent=6.2, used=29900140544, free=361891368960, active=64563232768, inactive=103384276992, buffers=2552844288, cached=146550280192, shared=56205312, slab=7698677760)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:59.412417
656.0,"svmem(total=540894633984, available=507425759232, percent=6.2, used=29911379968, free=361880100864, active=64576131072, inactive=103384334336, buffers=2552844288, cached=146550308864, shared=56205312, slab=7700234240)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:01.740207
781.8,"svmem(total=540894633984, available=507437977600, percent=6.2, used=29899153408, free=361892302848, active=64567005184, inactive=103384342528, buffers=2552844288, cached=146550333440, shared=56205312, slab=7698620416)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:04.078014
702.0,"svmem(total=540894633984, available=507417198592, percent=6.2, used=29919916032, free=361871523840, active=64589180928, inactive=103384342528, buffers=2552844288, cached=146550349824, shared=56205312, slab=7699701760)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:06.389274
723.3,"svmem(total=540894633984, available=507427241984, percent=6.2, used=29909868544, free=361881554944, active=64577937408, inactive=103384342528, buffers=2552844288, cached=146550366208, shared=56205312, slab=7699619840)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:08.716288
